,Tweet,Favourites,Compound,Positive,Neutral,Negative
0,"Had Modi listened to ""Man(Manmohan Singh) Ki Baat"",d disaster of demonetisation cld hv bn avoided but he listens only to his ""Mann Ki Baat""",26,-0.5023,0.0,0.838,0.162
1,#GDP slowdown? #India’s oil demand rises most since November’s demonetisation https://t.co/BwQUwrSPa4 via @S_A_Monitor,0,-0.128,0.0,0.889,0.111
2,#Economy GDP slowdown? India’s oil demand rises most since November’s demonetisation https://t.co/YeMiPNL3ER #Market,1,-0.128,0.0,0.889,0.111
3,Demonetisation led to 'great movement' towards digitisation: Arun Jaitley https://t.co/SQzQkhzAk2,6,0.6249,0.313,0.687,0.0
4,@BDUTT Sweeping statement my dear.. Remember the overwhelming positive response to the badly handled Modi demonetisation drive,0,0.128,0.166,0.691,0.143
5,"Demonetisation led to great movement towards digitisation: @arunjaitley ji
https://t.co/ru3GGHVibW https://t.co/4WxBwrur5H",12,0.6249,0.291,0.709,0.0
6,Financial Express: #GDP slowdown? #India’s oil demand rises most since November’s #demonetisation…… https://t.co/WgbpT7pPVD,0,-0.128,0.0,0.889,0.111
7,"On Digital Mode; #Demonetisation led to great movement towards digitisation, believes ArunJaitley.#TransformingIndia https://t.co/RVbPwrN0RX",0,0.6249,0.255,0.745,0.0
8,"Demonetisation led to 'great movement' towards digitisation: Arun Jaitley
visit:https://t.co/z7ZYtZMvK3 or Missed c… https://t.co/g3CDFkknNc",0,0.4404,0.224,0.656,0.12
9,@PIBPersMin  Navneet after demonetisation lot of income tax raid on powerful corrupt across county pls give wide publicity @DrJitendraSingh,0,0.4767,0.194,0.806,0.0
10,"Cisco witnesses a jump business since the demonetisation move, which made it open its first global digital centre. https://t.co/x2Zf5r6c6M",0,0.0,0.0,1.0,0.0
11,"Demonetisation led to 'great movement' towards digitisation: Arun Jaitley
https://t.co/PFtEuwQNOQ  or Missed Call at 8306308308",0,0.4404,0.212,0.674,0.114
12,"#Demonetization led to 'great movement' towards digitisation: #ArunJaitley
https://t.co/bTH9qtZ9L8 https://t.co/5FMdBgfdW8",0,0.6249,0.313,0.687,0.0
13,"Cases Of Sudden Spike In Income Would Be Identify By I-T Department.
https://t.co/38mqeSXqUe
#Demonetisation #ITDept https://t.co/19B75OZCqf",0,0.0,0.0,1.0,0.0
14,Demonetisation led to movement towards digitisation: Arun Jaitley - https://t.co/7yrYYRP9j2 https://t.co/B1CtlSrxtJ,0,0.0,0.0,1.0,0.0
15,"Demonetisation led to great movement towards digitisation: Arun Jaitley
 https://t.co/MfFEJR7lap https://t.co/L4XaUK7Dn8",0,0.6249,0.291,0.709,0.0
16,"It almost did but thks to #Demonetisation No
#Onlinebanking will kill physical #banks in 5-6 years: #Kant #NitiAyog
https://t.co/5hoGaftRDb",0,-0.8246,0.096,0.57,0.333
17,#Demonetisation led to great movement towards digitisation: Sh @arunjaitley ji https://t.co/fYtVCaAalb,0,0.6249,0.291,0.709,0.0
18,"@AmitTrds @IndiaSpend I pray, no more of #Demonetisation disaster pl @AmitTrds Tks",0,-0.6444,0.136,0.474,0.389
19,@savanisri @mediacrooks @manojkedia07 @INCIndia @ndtv @IndiaToday @TimesNow @republic @BJP4India Agreed.Bt farmers… https://t.co/WJcpEeQQzb,0,0.0,0.0,1.0,0.0
20,The great Economist @sgurumurthy who CORRECTLY predicted in Jan17 that Demonetisation benefits would reach people from April2017.,2,0.7783,0.358,0.642,0.0
21,"Demonetisation led to a 'Substantial Movement' towards Digitisation, says Arun Jaitley https://t.co/TeKw0JUMDF",0,0.2023,0.153,0.847,0.0
22,#GDP slowdown? #India's oil demand rises most since November's #demonetisation https://t.co/Tqbnr8Lp4e,0,-0.128,0.0,0.87,0.13
23,GDP slowdown? India’s oil demand rises most since November’s demonetisation https://t.co/bQFalcXUpX,0,-0.128,0.0,0.87,0.13
24,demonetisation last year has adversely hit the rural and agrarian economy. https://t.co/FrtLxpcEhp,0,-0.2023,0.0,0.859,0.141
25,#3Novices : Demonetisation for digitisation? Jaitley hails push to cashless economy https://t.co/tigsQob1GR FM said the government was awa…,0,0.0,0.0,1.0,0.0
26,Demonetisation led to great movement towards digitisation: Arun Jaitley https://t.co/n0fZlMamBa,2,0.6249,0.313,0.687,0.0
27,Was it the real reason sad Ji was so furious about #Demonetisation https://t.co/ni3KL2GnJq,0,-0.8334,0.0,0.584,0.416
28,"Demonetisation led to great movement towards digitisation: Arun Jaitley
https://t.co/WiXnG3Pi6z https://t.co/9dIlmz0WDS",0,0.6249,0.291,0.709,0.0
29,@RenukaJain6 By criticising #Demonetisation those people mocked themselves and their social &amp; political reputation… https://t.co/2KtJlaZVS6,0,-0.6124,0.0,0.722,0.278
30,How #demonetisation crippled bank #lending https://t.co/SkGBt1Y1dy,2,0.0,0.0,1.0,0.0
31,Demonetisation critics?  You can go to Burj Khalifa to jump if Qutab Minar not open 😂 https://t.co/OHoelMMTQZ,17,-0.296,0.0,0.872,0.128
32,"FDs, personal loans during demonetisation at Coop Banks, NBFCs under tax dept lens @IncomeTaxIndia  https://t.co/XaoosrtlQj",0,0.0,0.0,1.0,0.0
33,@TVMohandasPai BJP has done nothing to curb corruption in states ruled by them for 15 yrs nor are they doing it tod… https://t.co/RhCuZQgN8T,0,0.0,0.0,1.0,0.0
34,"5 Oil consumption plunged 5.9 percent in January, the most in 13 years, after Prime Minister Narendra Modi’s demonetisation #economyRJ",4,0.0,0.0,1.0,0.0
35,"@Cisco says jump in business post demonetisation, opens first digital centre. #NewIndia  https://t.co/IIjKGMRjNk",0,0.0,0.0,1.0,0.0
36,1 Oil Demand in India Rises Most Since November's Cash Clampdown. Demonetisation affect over. Growth resumes #economyRJ,17,0.2732,0.144,0.773,0.083
37,@asmariz @sanjayuvacha @sanjayuvacha Are you suggesting farmers were holding cash which rendered use less post Demo… https://t.co/wBcedFfyMd,0,0.0,0.0,1.0,0.0
38,#Demonetisation was an example of that. One decision you took for our good . I request you to take another fearless and bold decision (2/3),0,0.8126,0.296,0.704,0.0
39,Cogent Advisory: https://t.co/R3kcRwemwM,0,0.0,0.0,1.0,0.0
40,"Demonetisation led to great movement towards digitisation: Arun Jaitley
https://t.co/t1UmlXjmFy https://t.co/QJjSnKV9Jl",1,0.6249,0.291,0.709,0.0
41,"On DigitalMode; Demonetisation led to great movement towards digitisation,believes Arun Jaitley #TransformingIndia https://t.co/ssA5af1TgQ",1,0.6249,0.255,0.745,0.0
